Date,JPY-INR,IR_India,IR_Japan,TotalReserves_India,TotalReserves_Japan,CPI_India,CPI_Japan,IIP_India,IIP_Japan,MoneySupply_India,MoneySupply_Japan,SharePrice_India,SharePrice_Japan,NetTrade_India,NetTrade_Japan
4/1/1994,0.3088,12.00,1.75,15435779187.00,107599063886.82,22.30,97.90,26.96,97.25,50189496678.00,1402181973798.64,13.98,103.67,-46621911.70,10961037535.56
5/1/1994,0.2995,12.00,1.75,15830234214.44,109933313089.08,22.55,98.00,27.40,97.15,51470011724.00,1296305339587.48,13.73,105.85,-17397427.25,8672702654.91
6/1/1994,0.3189,12.00,1.75,16724796510.01,114559126436.78,22.97,97.60,28.11,98.37,51931610810.00,1374663013504.28,15.12,108.55,-115085128.58,10860375923.21
7/1/1994,0.3134,12.00,1.75,17886316595.27,116799159717.81,23.30,97.20,28.36,99.38,52332367904.00,1431192036162.32,15.01,106.56,-252612588.87,11898203774.53
8/1/1994,0.3134,12.00,1.75,17992387260.22,118936479551.21,23.55,97.60,28.53,100.19,50507897682.00,1337758838960.59,16.11,106.24,-194885207.91,8502711649.67
9/1/1994,0.316,12.00,1.75,19170606371.96,120674377485.38,23.88,97.90,28.66,99.18,51962463049.00,1380413930751.20,16.49,102.46,-260322588.63,9520472058.76
10/1/1994,0.3238,12.00,1.75,20163089053.01,123728029876.34,23.96,98.40,29.14,100.19,54171112554.00,1352850446859.78,15.91,101.93,-320847941.31,9469598829.12
11/1/1994,0.3174,12.00,1.75,19804806270.98,125176843224.12,24.13,98.10,29.59,100.80,55159266102.00,1377027661050.14,15.13,98.36,-191559578.07,9771405813.92
12/1/1994,0.3145,12.00,1.75,19698471269.47,125860194539.29,23.96,97.80,30.00,101.51,55459477910.00,1513891949444.58,14.44,98.40,-242495448.26,9810065750.24
1/1/1995,0.315,12.00,1.75,20081437643.24,126914440146.25,23.96,97.80,30.56,99.48,55731207344.00,1373972094701.60,13.35,95.66,-93312033.78,7306524386.22
2/1/1995,0.3248,12.00,1.75,20268267904.72,127622364672.80,24.13,97.50,30.34,100.90,56850220560.00,1414997642646.66,12.70,90.80,-352643915.30,10287716906.59
3/1/1995,0.3626,12.00,1.75,21160083812.80,143547197927.35,24.29,97.40,30.56,101.92,60866742235.00,1635183505847.88,12.46,84.63,-316051857.86,10761083264.92
4/1/1995,0.3729,12.00,1.00,20890932293.56,155411759931.73,24.46,97.70,31.22,103.13,61741158490.00,1827202934657.27,12.28,84.03,-32554621.46,10965561570.57
5/1/1995,0.3715,12.00,1.00,20628058905.94,156026118683.36,24.87,97.90,30.96,101.41,62724461385.00,1678135627616.85,11.72,83.88,-480356933.64,9540108213.80
6/1/1995,0.3709,12.00,1.00,20029247724.12,158272693332.94,25.37,97.80,31.23,101.31,61875865742.00,1773431723219.36,12.20,78.88,-377699526.62,10828199466.83
7/1/1995,0.3551,12.00,1.00,20233651554.23,159598458003.23,25.95,97.30,31.98,99.89,61672600983.00,1685790130095.99,12.19,83.68,-514238769.56,8957988942.27
8/1/1995,0.3268,12.00,1.00,19353568862.12,167535327218.59,26.12,97.40,32.07,101.41,61173674418.00,1540792480885.55,12.44,89.44,-509756593.87,8185121535.92
9/1/1995,0.3398,12.00,0.50,19433026931.48,180735175082.47,26.28,98.00,33.28,99.79,58570538656.00,1545943876155.57,12.42,92.57,-576486431.84,8649384935.77
10/1/1995,0.3352,12.00,0.50,18109678191.17,181745993902.22,26.45,97.70,32.38,101.31,57650775985.00,1492642022648.06,12.90,92.31,-254010505.82,5646748604.35
11/1/1995,0.3415,12.00,0.50,17668750215.49,182089352602.25,26.62,97.40,33.19,102.12,57015845578.00,1500992740827.93,11.59,92.80,-435112927.34,7337503647.58
12/1/1995,0.3401,12.00,0.50,17921806913.05,183249772502.41,26.28,97.40,33.76,103.44,56483323205.00,1684290055424.91,11.19,99.27,-119111310.10,7552440996.19
1/1/1996,0.3403,12.00,0.50,16666695434.29,183150706522.29,26.12,97.30,34.14,101.92,55987620422.00,1479267014292.27,10.89,103.11,-794394767.56,5172791551.72
2/1/1996,0.3294,12.00,0.50,16304787811.99,200177145053.03,26.20,97.10,33.49,101.82,55104182322.00,1496791696600.74,12.45,102.80,-437929738.75,5088576144.88
3/1/1996,0.3181,12.00,0.50,17436294037.54,202712388801.30,26.45,97.30,34.96,101.71,62297670501.00,1647663771946.38,12.16,101.06,-400903902.46,8059564130.41
4/1/1996,0.3298,12.00,0.50,17407902578.05,204495174872.29,26.86,97.90,34.58,102.02,63465875528.00,1607845436929.43,13.16,108.11,-190411241.60,3011006043.86
5/1/1996,0.3234,12.00,0.50,17418040887.41,207156022110.15,27.20,98.10,34.95,102.63,62232690935.00,1542132736062.37,13.64,107.99,-432776268.60,4316811408.12
6/1/1996,0.3185,12.00,0.50,17961104344.89,208977508836.86,27.61,97.80,34.53,102.83,62346757076.00,1620215675477.23,14.28,108.98,-159239679.54,5788473532.65
7/1/1996,0.3328,12.00,0.50,18342743622.70,210990496800.73,28.11,97.70,34.10,103.44,60564484886.00,1527776454916.32,13.41,105.71,-167055687.29,4353282750.98
8/1/1996,0.3272,12.00,0.50,18295875858.74,212792428305.93,28.44,97.60,34.92,103.54,59832960894.00,1565268409852.29,12.61,102.16,-385793159.37,5476018500.17
